"","FIPS_CODE","cum_case","NAME","GEO_PARENT_NAME","POP_DENSITY","Total_Pop","SEX BY AGE%Total population%Total%Male","SEX BY AGE%Total population%Total%Male%Under 5 years","SEX BY AGE%Total population%Total%Male%5 to 9 years","SEX BY AGE%Total population%Total%Male%10 to 14 years","SEX BY AGE%Total population%Total%Male%15 to 17 years","SEX BY AGE%Total population%Total%Male%18 and 19 years","SEX BY AGE%Total population%Total%Male%20 years","SEX BY AGE%Total population%Total%Male%21 years","SEX BY AGE%Total population%Total%Male%22 to 24 years","SEX BY AGE%Total population%Total%Male%25 to 29 years","SEX BY AGE%Total population%Total%Male%30 to 34 years","SEX BY AGE%Total population%Total%Male%35 to 39 years","SEX BY AGE%Total population%Total%Male%40 to 44 years","SEX BY AGE%Total population%Total%Male%45 to 49 years","SEX BY AGE%Total population%Total%Male%50 to 54 years","SEX BY AGE%Total population%Total%Male%55 to 59 years","SEX BY AGE%Total population%Total%Male%60 and 61 years","SEX BY AGE%Total population%Total%Male%62 to 64 years","SEX BY AGE%Total population%Total%Female","SEX BY AGE%Total population%Total%Female%Under 5 years","SEX BY AGE%Total population%Total%Female%5 to 9 years","SEX BY AGE%Total population%Total%Female%10 to 14 years","SEX BY AGE%Total population%Total%Female%15 to 17 years","SEX BY AGE%Total population%Total%Female%18 and 19 years","SEX BY AGE%Total population%Total%Female%20 years","SEX BY AGE%Total population%Total%Female%21 years","SEX BY AGE%Total population%Total%Female%22 to 24 years","SEX BY AGE%Total population%Total%Female%25 to 29 years","SEX BY AGE%Total population%Total%Female%30 to 34 years","SEX BY AGE%Total population%Total%Female%35 to 39 years","SEX BY AGE%Total population%Total%Female%40 to 44 years","SEX BY AGE%Total population%Total%Female%45 to 49 years","SEX BY AGE%Total population%Total%Female%50 to 54 years","SEX BY AGE%Total population%Total%Female%55 to 59 years","SEX BY AGE%Total population%Total%Female%60 and 61 years","SEX BY AGE%Total population%Total%Female%62 to 64 years","Median_Age","SEX BY AGE%Total population%Total%Female%65 and 66 years","SEX BY AGE%Total population%Total%Male%65 and 66 years","SEX BY AGE%Total population%Total%Female%67 to 69 years","SEX BY AGE%Total population%Total%Male%67 to 69 years","SEX BY AGE%Total population%Total%Female%70 to 74 years","SEX BY AGE%Total population%Total%Male%70 to 74 years","SEX BY AGE%Total population%Total%Female%75 to 79 years","SEX BY AGE%Total population%Total%Male%75 to 79 years","SEX BY AGE%Total population%Total%Female%80 to 84 years","SEX BY AGE%Total population%Total%Male%80 to 84 years","SEX BY AGE%Total population%Total%Female%85 years and over","SEX BY AGE%Total population%Total%Male%85 years and over","Total_White","Total_Black","Total_Hispanic","Total_Other","Total_Households_Below_Poverty","Total_Households_Above_Poverty"
"1","01001",6595,"Autauga","Alabama",35.9703319897379,55380,26934,1734,2153,1654,1229,676,335,326,1147,1754,1712,1954,1503,1878,1928,2190,558,609,28446,1483,1661,1946,1345,562,468,219,1075,1848,1742,1961,1888,2011,1919,2057,814,758,38.2,488,438,805,646,1385,1056,1010,670,502,399,499,385,42437,10565,1528,2198,3175,17940
"2","01003",20523,"Baldwin","Alabama",51.6876047264901,212830,103496,5948,5583,7713,4304,2239,1156,865,3524,6048,5802,6480,6089,6720,7034,7019,2432,4805,109334,5741,6475,6549,3922,2366,1232,964,3137,6126,5966,6753,6512,7316,7342,8062,3499,4576,43,2693,2443,4392,3906,6456,5849,4518,3623,2298,2305,2439,1609,179526,19764,9353,8817,8656,69966
"3","01005",2227,"Barbour","Alabama",11.0642356825314,25361,13421,696,725,770,470,257,303,135,503,1143,1090,887,950,967,863,851,277,507,11940,653,897,652,444,241,164,103,384,684,725,617,584,667,813,777,388,464,40.4,312,266,570,305,663,728,457,398,369,237,312,93,12216,12266,1106,1300,2383,6803
"4","01007",2543,"Bibb","Alabama",13.9520244235469,22493,12150,701,674,628,600,240,75,52,497,872,1213,772,888,907,982,791,261,401,10343,614,545,504,365,195,128,84,423,716,475,677,573,894,736,624,322,480,40.9,192,155,398,444,443,466,322,311,324,87,309,133,17268,5018,547,241,968,5872
"5","01009",6446,"Blount","Alabama",34.537372898938,57681,28495,1750,1734,2092,1251,727,179,412,1077,1746,1631,1603,2037,1963,1885,2046,709,1044,29186,1682,1856,1942,1082,562,434,184,926,1757,1705,1563,2060,1991,1860,1809,919,1137,40.7,952,535,819,993,1452,1360,1010,684,863,603,621,434,55054,862,5261,1729,2944,17656
"6","01011",1207,"Bullock","Alabama",6.35307924545013,10248,5571,260,383,216,232,302,27,128,180,373,445,379,303,554,319,334,186,247,4677,282,255,338,162,118,0,91,173,306,147,287,415,192,296,341,217,120,40.2,115,143,175,110,225,252,139,134,112,64,171,0,2276,7893,51,183,1215,2394
"7","01013",2103,"Butler","Alabama",9.85485837840629,19828,9081,458,701,628,418,222,138,153,276,568,545,574,597,400,517,670,193,427,10747,691,591,575,393,239,137,128,261,602,624,752,606,645,665,746,413,375,40.8,280,159,341,380,538,590,508,182,271,126,366,159,10414,9055,67,556,1537,5171
"8","01015",14227,"Calhoun","Alabama",73.0425348185539,114618,55141,3254,3456,3622,2468,1637,929,793,1991,3965,3424,3464,3088,3362,3740,3674,1660,2242,59477,3354,3163,3527,2108,1534,501,858,2315,4101,3639,3790,3352,3677,3815,4342,1723,2312,39.6,1452,1360,2164,1694,2744,2313,2160,1506,1424,861,1422,638,85558,23676,4203,5864,8611,36422
"9","01017",3489,"Chambers","Alabama",21.7852006694669,33660,16089,999,947,938,628,294,201,182,765,1119,948,959,826,1109,1125,1335,356,587,17571,1044,848,1088,573,321,274,210,559,1109,952,1113,938,1135,1182,1295,500,731,42,554,419,650,579,849,907,732,487,438,202,476,177,19483,13319,768,1024,2414,11102
"10","01019",1810,"Cherokee","Alabama",18.0682049857198,25903,12777,656,688,750,520,268,166,164,403,718,508,824,619,880,980,1036,325,572,13126,531,766,739,595,215,124,101,343,682,587,652,776,811,1017,983,474,619,46.5,437,326,525,630,862,731,560,635,371,221,356,157,23997,1267,398,589,1821,8785
"11","01021",4041,"Chilton","Alabama",24.5503275654831,44055,21459,1226,1628,1316,1093,474,420,165,715,1506,1306,1431,1526,1287,1370,1381,823,589,22596,1533,1597,1341,901,426,383,192,599,1510,1460,1373,1544,1535,1390,1567,662,734,38.7,469,471,680,610,1043,879,755,682,510,341,392,220,36599,4148,3416,3183,3205,13546
"12","01023",584,"Choctaw","Alabama",5.46310696218897,12925,6145,318,324,429,294,161,57,116,159,312,292,406,257,371,450,501,174,249,6780,361,304,370,203,186,110,33,171,349,323,267,489,425,493,516,116,417,46.3,115,143,262,287,541,312,343,378,162,77,224,78,7420,5590,73,65,1190,4160
"13","01025",3478,"Clarke","Alabama",7.52238326950179,24128,11403,682,680,788,496,277,39,188,517,688,562,633,686,723,790,826,286,495,12725,695,640,785,521,290,225,121,414,732,629,823,707,803,904,1000,360,444,42.5,254,272,626,443,482,506,519,448,321,236,430,142,12935,11173,48,279,2596,6762
"14","01027",1483,"Clay","Alabama",8.52612073715491,13337,6438,328,375,470,247,182,159,69,128,352,324,359,428,415,413,626,133,222,6899,352,302,500,204,223,68,40,231,413,414,434,323,394,524,489,121,377,43.3,178,111,275,192,375,408,305,270,190,108,167,119,11106,1977,415,295,1036,4200
"15","01029",1454,"Cleburne","Alabama",10.2821895355427,14916,7309,438,540,414,319,165,37,109,226,480,424,330,544,528,501,457,217,267,7607,411,576,420,265,127,55,34,299,431,422,427,428,609,494,534,155,334,43.1,199,223,356,298,321,299,199,351,151,51,360,91,14068,393,362,477,1158,4568
